Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=CompType~String~CompType~100|Field=DocumentName~String~DocumentName~100|Field=Title~String~Title~100|Field=Engineer~String~Engineer~100|Field=Value~String~Value~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~commutation.PrjPcb|ReportField=ProjectFullPath~C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb|ReportField=Title~Bill of Materials For Project [commutation.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~137|ReportField=ReportTime~15:34:24|ReportField=ReportDate~19.05.2016|ReportField=ReportDateTime~19.05.2016 15:34:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=BoardName~Communication Board|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Кузнецов В. А.|ReportField=CheckedBy~|ReportField=CompanyName~ОАО "Тетис-Про"|ReportField=ConfigurationParameters~|ReportField=CurrentDate~19.05.2016|ReportField=CurrentTime~12:44:54|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\communication.SchDoc|ReportField=DocumentName~communication.SchDoc|ReportField=DocumentNumber~|ReportField=DocumentType~|ReportField=DocumentType1str~|ReportField=DocumentType2str~Схема электрическая принципиальная|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=EngineerName~|ReportField=ImagePath~|ReportField=Letter1Column~|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=ModifiedDate~19.05.2016|ReportField=NormInspection~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.95:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProcessInspection~|ReportField=ProjectName~commutation.PrjPcb|ReportField=Revision~v1.1|ReportField=Rule~|ReportField=Scale~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~CommutationTitle|ReportField=Title~Плата коммутации|ReportField=Title1str~|ReportField=Title2str~|ReportField=DataSourceFileName~commutation.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F11|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F11|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F12|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F12|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F13|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F13|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F14|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F14|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F15|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F15|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F16|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F16|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F17|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F17|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F18|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F18|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F19|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F19|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F20|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F20|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F21|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F21|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F22|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F22|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F23|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F23|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F24|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F24|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F25|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F25|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F26|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F26|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F27|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F27|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F28|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F28|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F29|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F29|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F30|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F30|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F31|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F31|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F32|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F32|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F33|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F33|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F34|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F34|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F35|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F35|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F36|1|Предохранитель плавкий 250V 5x20|communication.SchDoc|Плата коммутации||6.3A|||F36|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F37|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F37|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F38|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F38|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F39|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F39|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F40|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F40|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F41|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F41|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
F42|1|Предохранитель самовосст. RXEF010|communication.SchDoc|Плата коммутации||0.1A|||F42|communication|C:\Users\Владимир Кузнецов\Documents\PCBs\commutation\commutation.PrjPcb
